Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
710                                                   OM                 3
878                                                STEYR                 3
574                                                LIFAN                 3
906                                                TASSO                 3
587                                              LYNK&CO                 3
387                                         FORD Foc 1.6                 3
118                                            BETAMOTOR                 3
108                                              BEDFORD                 3
618                                             MC LOUIS                 3
909                                              TAZZARI                 3
102                                                  Axy                 3
62                                                  ARCA                 3
1164                                                opeL                 3
80                                                AUSTIN                 3
1172                                             porsche                 3
888                                       SUZUKI VALENTI                 3
70                                                 ASTRA                 3
678                                           MV AUGUSTA                 3
388                                         FORD Foc 1.8                 3
0                                              MAN TRUCK                 3
1012                                         VW Polo 1.2                 3
302                                            FD MOTORS                 3
284                                                  EMC                 3
310                                             FERRANTE                 3
383                                          FORD FIESTA                 3
1051                                          aixam mega                 3
606                                                 MASH                 2
109                                              BELARUS                 2
1151                                       mercedes benz                 2
610                                     MASSEY FERGUSSON                 2
1                                                      .                 2
283                                               ELNAGH                 2
617                                                  MBP                 2
604                                               MARUTI                 2
602                                                  MAR                 2
342                                         FIAT Idea 1.                 2
385                                           FORD FOCUS                 2
1063                                                beta                 2
344                                         FIAT PALIO 7                 2
1029                                                  WV                 2
107                                          BCS FERRARI                 2
620                                            MCCORMICK                 2
623                                                   ME                 2
584                                                LOTUS                 2
627                                       MERCEDES  BENZ                 2
629                                         MERCEDES 180                 2
100                                           Alfa Romeo                 2
637                                       MERCEDES- BENZ                 2
1159                                          mitsubishy                 2
1034                                              XIAMEN                 2
645                                          MICROCAR 51                 2
88                                           AUTOFUNEBRE                 2
1166                                               paoli                 2
84                                               AUTOBUS                 2
894                                               Scania                 2
654                                           MITSIBISHI                 2
586                                               LVNENG                 2
581                                               LJGIER                 2
583                                           LOMBARDINI                 2
146                                             CARAVANS                 2
529                                                  KSR                 2
1122                                            kawasaki                 2
531                                             KSR Moto                 2
165                                              CF MOTO                 2
1069                                             carraro                 2
357                                         FIAT Panda 9                 2
161                                             CATERHAM                 2
1125                                               kymko                 2
543                                                  Kia                 2
155                                         CASALINI SRL                 2
1023                                                WOLK                 2
352                                         FIAT PUNTO 5                 2
549                                         LAMBIORGHINI                 2
550                                             LAMBORGH                 2
1053                                          alfa romeo                 2
281                                                  ELI                 2
556                                             LANCIA Y                 2
1134                                               liger                 2
559                                         LANCIA YPSIL                 2
560                                         LANCIA Ypsil                 2
142                                              Brixton                 2
351                                         FIAT PUNTO 1                 2
136                                               BUFALO                 2
349                                         FIAT PANDA 9                 2
1064                                           betamotor                 2
129                                                BOXER                 2
346                                         FIAT PANDA 1                 2
578                                        LIGIER JS32FD                 2
580                                              LINGBEN                 2
79                                               AUDI A6                 2
657                                         MITSUBISC. P                 2
257                                            DISCOVERY                 2
889                                         SUZUKI Vitar                 2
834                                          SAME BUFALO                 2
295                                                FACMA                 2
844                                         SARA PICASSO                 2
296                                                 FAIT                 2
27                                               AGILITY                 2
750                                          PIAGGIO APE                 2
752                                          PININFARINA                 2
753                                               POESSL                 2
25                                          AGCO LIMITED                 2
838                                      SAME DEUTZ-FAHR                 2
760                                              PRESTIJ                 2
308                                                 FENT                 2
836                                           SAME DEUTZ                 2
835                                         SAME BUFFALO                 2
307                                            FENDT 208                 2
768                                          QUADRICICLO                 2
739                                              PERKINS                 2
19                                  AERDIESEL LOMBARDINI                 2
305                                                 FEND                 2
776                                          RANGE ROVER                 2
777                                               RAPIDO                 2
1201                                               vespa                 2
783                                         REGAL RAPTOR                 2
13                                             ADAM OPEL                 2
789                                         RENAULT 180.                 2
792                                         RENAULT Kang                 2
793                                         RENAULT LAGU                 2
795                                         RENAULT M)ga                 2
1206                                           volswagen                 2
1210                                                  wv                 2
804                                            RIMORCHIO                 2
31                                                AIAXAM                 2
1047                                    Zero Motorcycles                 2
666                                              MONDIAL                 2
702                                             NISSAN T                 2
170                                            CHANGZHOU                 2
1060                                           autocarro                 2
67                                             ARION 410                 2
673                                                MOTOM                 2
885                                        SUZUKI ITALIA                 2
675                                               MOTRON                 2
676                                                   MV                 2
323                                             FIAT 600                 2
320                                           FIAT 500 F                 2
874                                             SSANGYON                 2
1059                                             autobus                 2
48                                          ALFA 147 1.9                 2
699                                         NISSAN MICRA                 2
700                                         NISSAN Micra                 2
705                                                  NOX                 2
732                                             PASQUALI                 2
868                                         SLH EXPLORER                 2
318                                              FIAT 35                 2
317                                             FIAT 244                 2
863                                                  SKI                 2
862                                            SIMPA JDM                 2
291                                            EUROCARGO                 2
719                                          OPEL Meriva                 2
720                                          OPEL ZAFIRA                 2
721                                          OPEL Zafira                 2
38                                                AIXAMA                 2
857                                               SHERCO                 2
728                                                PANDA                 2
854                                        SEMIRIMORCHIO                 2
853                                           SEAT IBIZA                 2
528                                               KRAMER                 2
918                                           TONY 10900                 2
525                                                KNAUS                 2
1110                                               hymer                 2
434                                               GREGAV                 2
435                                                GUZZI                 2
1094                                               fendt                 2
444                                               HELNAG                 2
445                                              HIUNDAY                 2
216                                                   CO                 2
447                                                HOBBY                 2
214                                    CNH INTERNATIONAL                 2
213                                       CNH INDUSTRIAL                 2
212                                 CNH EUROPE HOLDING S                 2
1076                                           chevrolet                 2
974                                                VMOTO                 2
463                                         HYUNDAI S.FE                 2
200                                         CITROEN XSAR                 2
968                                           VERVE MOTO                 2
199                                         CITROEN Saxo                 2
966                                                  VEM                 2
1105                                              grecav                 2
369                                          FIAT Uno 55                 2
482                                                ISIZU                 2
195                                         CITROEN C3 1                 2
1108                                                  hm                 2
490                                      IVECO EUROCARGO                 2
225                                               Cagiva                 2
378                                           FITA PUNTO                 2
987                                                VOLSW                 2
1081                                                 cnh                 2
384                                         FORD FOC 1.8                 2
391                                          FORD Mondeo                 2
393                                          FORD RANGER                 2
394                                           FORD S-MAX                 2
255                                                DIECI                 2
1000                                         VW GOLF 1.9                 2
400                                             FRANCHIN                 2
998                                              VW GOLF                 2
253                                           DEUTZ-FAHR                 2
1080                                                clio                 2
382                                   FORD CUSTOM 300 L1                 2
1091                                              fantic                 2
412                                            GAC GONOW                 2
