Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
697                                         NISSAN DATSU           2060.000000
516                                          KAWASAKI KL           2060.000000
1014                                         VW Polo 1.9           2060.000000
688                                               Motron           2060.000000
527                                              KORANDO           2060.000000
1037                                                XTOO           2060.000000
557                                         LANCIA Y 1.1           2060.000000
377                                           FITA IVECO           2060.000000
592                                              MAGIRUS           2060.000000
366                                          FIAT UNO 45           2060.000000
94                                           AUTOVETTURA           2060.000000
903                                              TALARIA           2060.000000
331                                         FIAT CINQ900           2060.000000
462                                         HYUNDAI ATOS           2060.000000
726                                                 Over           2060.000000
951                                          UNO 45 FIRE           2060.000000
176                                 CHATENET QUADRICICLO           2060.000000
759                                          PORTERMAXXI           2060.000000
923                                            TOYOTA JG           2060.000000
189                                               CITOEN           2060.000000
279                                              ECOOTER           2060.000000
734                                           PEDA MOTOR           2060.000000
733                                           PAYERO GLS           2060.000000
289                                                 EURO           2060.000000
911                                             TECNOMEC           2060.000000
925                                         TOYOTA RAV 4           2060.000000
905                                          TARGA PROVA           2060.000000
897                                               Sherco           2060.000000
293                                         EVO BUS M.B.           2060.000000
480                                               IRIZAR           2059.666667
446                                                   HM           2058.472381
174                                             CHATENET           2053.467697
512                                            JOHNDEERE           2050.000000
535                                               KUBOTA           2049.827500
750                                          PIAGGIO APE           2049.000000
536                                            KWAN YANG           2043.250000
762                                                PUNTO           2042.666667
582                                                  LML           2029.697000
576                                               LIGIER           2029.205165
44                                                  ALFA           2025.908182
945                                               Toyota           2024.128333
714                                         OPEL Agila 1           2011.000000
560                                         LANCIA Ypsil           2010.000000
950                                                 UNIC           2000.000000
131                                              BREMACK           2000.000000
76                                           AUDI A3 1.8           2000.000000
676                                                   MV           2000.000000
621                                              MCLAREN           2000.000000
1191                                              stayer           2000.000000
993                                          VOLVO TRUCK           1998.355000
1077                                         ciclomotore           1997.000000
796                                         RENAULT MODU           1993.870000
81                                          AUSTIN ROVER           1991.014000
846                                            SCANIA CV           1988.000000
435                                                GUZZI           1987.510000
250                                                DEUTZ           1983.943333
352                                         FIAT PUNTO 5           1983.000000
2                                                 3TNV76           1980.000000
448                                              HOLLAND           1980.000000
449                                                HONDA           1973.300326
654                                           MITSIBISHI           1972.500000
245                                 DAIMLERCHRYSLER AG 9           1970.346000
282                                       ELLEBI LB 1213           1968.000000
1078                                             citroen           1960.626316
101                                              Aprilia           1960.103302
139                                              Benelli           1959.777895
405                                         Fantic Motor           1953.047143
615                                                  MBK           1951.169189
28                                           AGRIFULL 70           1950.000000
326                                           FIAT 70.66           1950.000000
425                                             GRAZIOLI           1950.000000
1015                                                Vent           1949.571429
1050                                               aixam           1947.693425
523                                                   KL           1945.000000
153                                             CASALINI           1943.465217
323                                             FIAT 600           1943.030000
404                                                 FULU           1942.750000
