Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
449                     KSR Moto                 2
929                        fendt                 2
477                         LAND                 2
924                        durso                 2
919                          cnh                 2
904                    betamotor                 2
903                         beta                 2
900                    autocarro                 2
476                 LANCIA Ypsil                 2
568                        MOTOM                 2
830                        VMOTO                 2
824                   VERVE MOTO                 2
513                          MAR                 2
515                       MARUTI                 2
698                        Rieju                 2
683                    RIMORCHIO                 2
517                         MASH                 2
1                              .                 2
674                 RENAULT LAGU                 2
657                          RAM                 2
525                          MBP                 2
527                    MCCORMICK                 2
531                         MEGA                 2
652                  QUADRICICLO                 2
637                  PIAGGIO APE                 2
628                      PERKINS                 2
619                        PANDA                 2
610                  OPEL Meriva                 2
545                  MICROCAR 51                 2
552                   MITSIBISHI                 2
597                          NOX                 2
595                     NISSAN T                 2
594                 NISSAN Micra                 2
593                 NISSAN MICRA                 2
579                   Mitsubishi                 2
562                      MONDIAL                 2
571                           MV                 2
708                  SAME BUFALO                 2
511                MAN TRUCK BUS                 2
709                 SAME BUFFALO                 2
733                          SKI                 2
822                          VEM                 2
809                         UNIC                 2
806                      U T B U                 2
769                        TASSO                 2
767                        TARGA                 2
570                       MOTRON                 2
754                 SUZUKI Vitar                 2
745                        STEYR                 2
742                     SSANGYON                 2
738                 SLH EXPLORER                 2
492                 LIGIER GROUP                 2
493                LIGIER JS32FD                 2
424                          JCB                 2
495                      LINGBEN                 2
729                      SILENCE                 2
728                       SHERCO                 2
496                       LJGIER                 2
724                   SEAT IBIZA                 2
498                   LOMBARDINI                 2
722                          SEA                 2
499                        LOTUS                 2
500                       LVNENG                 2
501                      LYNK&CO                 2
721                         SDFI                 2
710                   SAME DEUTZ                 2
0                      MAN TRUCK                 2
327                 FORD FOC 1.8                 2
359                         GOLF                 2
248                        FACMA                 2
26                       AGILITY                 2
350                      GAS GAS                 2
293                 FIAT PANDA 1                 2
24                  AGCO LIMITED                 2
291                 FIAT PALIO 7                 2
367                       GREGAV                 2
75                       AUTOBUS                 2
18          AERDIESEL LOMBARDINI                 2
255                    FD MOTORS                 2
215                        DIECI                 2
285                  FIAT DUCATO                 2
213                   DEUTZ-FAHR                 2
