Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
862                  VW Polo 1.9           2060.000000
645                  PORTERMAXXI           2060.000000
625                   PEDA MOTOR           2060.000000
19                         AEXAN           2060.000000
943                        hymer           2060.000000
532                     MERCEDES           2059.868889
775                        TESLA           2055.828400
469                       LANCIA           2054.073840
845                  VOLVO TRUCK           2050.228000
433                    JOHNDEERE           2050.000000
637                  PIAGGIO APE           2049.000000
630                      PEUGEOT           2047.817626
454                    KWAN YANG           2043.250000
646                        PUNTO           2042.666667
978                     mercedes           2042.141111
259                        FENDT           2039.928605
195                        DACIA           2039.553575
542                           MG           2037.201392
440                          KIA           2037.106046
556                   MITSUBISHI           2030.678348
345                         Fiat           2030.166667
865                   Volkswagen           2029.875000
162                      CITROEN           2029.627507
990                       nissan           2027.934000
837                   VOLKSWAGEN           2027.164298
113                      BREMACH           2025.285714
804                       Toyota           2024.128333
931                         fiat           2022.404823
267                         FIAT           2017.208423
512                      MANITOU           2015.000000
391                      HYUNDAI           2014.125655
729                      SILENCE           2013.000000
57                       APRILIA           2012.806246
605                 OPEL Agila 1           2011.000000
476                 LANCIA Ypsil           2010.000000
992                         opel           2007.433333
756                          SWM           2006.111111
323                         FORD           2002.374133
995                      piaggio           2001.773462
636                      PIAGGIO           2000.179930
289                 FIAT Idea 1.           2000.000000
809                         UNIC           2000.000000
114                      BREMACK           2000.000000
1014                      stayer           2000.000000
571                           MV           2000.000000
69                   AUDI A3 1.8           2000.000000
528                      MCLAREN           2000.000000
697                      Renault           1998.120000
915                  ciclomotore           1997.000000
522                        MAZDA           1995.143806
676                 RENAULT MODU           1993.870000
743                    SSANGYONG           1993.792643
415                IVECO MAGIRUS           1991.728000
222                           DR           1988.485336
720                    SCANIA CV           1988.000000
368                        GUZZI           1987.510000
841                        VOLVO           1983.870294
299                 FIAT PUNTO 5           1983.000000
212                   DEUTZ FAHR           1982.000000
380                      HOLLAND           1980.000000
2                         3TNV76           1980.000000
749                       SUZUKI           1978.955662
523                          MBK           1976.075890
688                        ROVER           1973.709000
958                       lancia           1973.000000
552                   MITSIBISHI           1972.500000
508                          MAN           1968.816098
250                       FANTIC           1968.466304
238               ELLEBI LB 1213           1968.000000
